"age_text","aging_rate","population"
"0-9y",0.1,39721000
"10-19y",0.1,42332000
"20-29y",0.1,46094000
"30-39y",0.1,44668000
"40-49y",0.1,40349000
"50-59y",0.1,42120000
"60-69y",0.1,38488000
"70-79y",0.1,24083000
"80yr+",0.05,13147000
