"age_text","aging_rate","population"
"0-9y",0.1,4995000
"10-19y",0.1,5733000
"20-29y",0.1,6104000
"30-39y",0.1,6999000
"40-49y",0.1,9022000
"50-59y",0.1,9567000
"60-69y",0.1,7485000
"70-79y",0.1,6029000
"80yr+",0.05,4529000
