category,age_text,2020,2021,2022,2023,2024
1,0-9y,3.26182979590912E-04,3.26182979590912E-04,3.26182979590912E-04,3.26182979590912E-04,3.26182979590912E-04
2,10-19y,1.2602659161083E-04,1.2602659161083E-04,1.2602659161083E-04,1.2602659161083E-04,1.2602659161083E-04
3,20-29y,4.04321750263932E-04,4.04321750263932E-04,4.04321750263932E-04,4.04321750263932E-04,4.04321750263932E-04
4,30-39y,6.58241735057702E-04,6.58241735057702E-04,6.58241735057702E-04,6.58241735057702E-04,6.58241735057702E-04
5,40-49y,1.78801053211683E-03,1.78801053211683E-03,1.78801053211683E-03,1.78801053211683E-03,1.78801053211683E-03
6,50-59y,4.45676018935458E-03,4.45676018935458E-03,4.45676018935458E-03,4.45676018935458E-03,4.45676018935458E-03
7,60-69y,8.22161886984558E-03,8.22161886984558E-03,8.22161886984558E-03,8.22161886984558E-03,8.22161886984558E-03
8,70-79y,1.81914387004603E-02,1.81914387004603E-02,1.81914387004603E-02,1.81914387004603E-02,1.81914387004603E-02
9,80yr+,9.34688191428337E-02,9.34688191428337E-02,9.34688191428337E-02,9.34688191428337E-02,9.34688191428337E-02
