period,value,param,param_value
1,0.127567858556605,ctryN,France
15,2.21062597776213E-08,cCFRBaseline,0.65
16,0.655218757594814,per_ini,90
17,0.60173773110048,per_window,60
18,0.560199186259496,scale_trans,0.95
19,0.473952857594176,scale_imp ,2.21062597776213E-08
24,0.232592232996684,calib_first,0.5
27,0.342584699757589,calib_min,0.5
30,0.379410134512213,lag_death,7
35,0.428230350040816,lag_hosp,0
40,0.301306208493185,group_ini,19
48,0.645912396932907,0,0
51,0.64,0,0
54,0.527402742634994,0,0
57,0.491836377703741,0,0
62,0.534711017608419,0,0
65,0.299818117425914,0,0
