period,value,param,param_value
1,0.117468421166572,ctryN,France
15,1.36017292810632E-08,cCFRBaseline,0.65
16,0.385998428218665,per_ini,90
17,0.754184343044784,per_window,60
18,0.569854845069913,scale_trans,0.95
19,0.534727065535319,scale_imp ,2.21062597776213E-08
24,0.26471680372281,calib_first,0.5
27,0.448475325276889,calib_min,0.5
30,0.498511666557389,lag_death,7
35,0.624301844348322,lag_hosp,0
40,0.392653719759553,group_ini,19
44,0.746780125241901,0,0
48,0.978294576954694,0,0
51,0.747709842156004,0,0
54,0.64,0,0
57,0.526673718455478,0,0
60,0.601726033096226,0,0
62,0.541123251885958,0,0
65,0.309676419115502,0,0
