period,value
1,0.127567858556605
15,1.91062597776213E-08
16,0.655218757594814
17,0.60173773110048
18,0.560199186259496
19,0.473952857594176
24,0.232592232996684
27,0.342584699757589
30,0.379410134512213
35,0.428230350040816
40,0.301306208493185
48,0.645912396932907
51,0.64
54,0.527402742634994
57,0.491836377703741
60,0.618143846427213
63,0.458436609162792
65,0.190496611210387
