"name","value"
"thresh_start",7
"thresh_end",36
"thresh",50.4076825581427
"thresh_dur1",10
"thresh_dur2",70
"thresh_dur3",100
"thresh_dist1",0.257106288191451
"thresh_dist2",0.205685030553161
"thresh_dist3",0.257106288191451
