year,month,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,Vaccine,cov1,0.6,,,,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,
2020,1,0,0,0,0,0,0,0,0,0,1,cov 2,0.6,,,high priority,0,0,0.210246421173051,0.210246421173051,0.210246421173051,0.210246421173051,0,0,0,
2020,2,0,0,0,0,0,0,0,0,0,1,,,,,Vulnerable (%),0,0,6.70598109587439E-02,0.109899483398544,0.169049519090013,0.263685365695802,0.730552495632473,1,1,
2020,3,0,0,0,0,0,0,0,0,0,1,,0.6,0.52317577000257,0,others,0,0,0.722693767868205,0.679854095428405,0.620704059736935,0.526068213131146,0.269447504367527,0,0,
2020,4,0,0,0,0,0,0,0,0,0,1,Jan-June,high priority,Vulnerable (%),others,Month,,,,,,,,,,
2020,5,0,0,0,0,0,0,0,0,0,1,,0.5,0,0,1,0,0,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,0,0,0,
2020,6,0,0,0,0,0,0,0,0,0,1,,0.5,0,0,2,0,0,0.126147852703831,0.126147852703831,0.126147852703831,0.126147852703831,0,0,0,
2020,7,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,3,0,0,0.134918869762473,0.14052203941631,0.148258505783451,0.160636301262908,9.55518411074545E-02,0.130793942500642,0.130793942500642,
2020,8,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,4,0,0,0.143689886821115,0.15489622612879,0.170369158863072,0.195124749821986,0.191103682214909,0.261587885001285,0.261587885001285,
2020,9,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,5,0,0,0.152460903879757,0.169270412841269,0.192479811942692,0.229613198381064,0.286655523322363,0.392381827501927,0.392381827501927,
2020,10,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,6,0,0,0.161231920938398,0.183644599553749,0.214590465022313,0.264101646940141,0.382207364429818,0.52317577000257,0.52317577000257,
2020,11,0,0,0,0,0,0,0,0,0,1,,0,0,0,7,0,0,0.161231920938398,0.183644599553749,0.214590465022313,0.264101646940141,0.382207364429818,0.52317577000257,0.52317577000257,
2020,12,0,0,0,0,0,0,0,0,0,1,,0,0,0,8,0,0,0.161231920938398,0.183644599553749,0.214590465022313,0.264101646940141,0.382207364429818,0.52317577000257,0.52317577000257,
2021,1,0,0,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,0,0,0,1,,0,0,0,9,0,0,0.161231920938398,0.183644599553749,0.214590465022313,0.264101646940141,0.382207364429818,0.52317577000257,0.52317577000257,
2021,2,0,0,0.126147852703831,0.126147852703831,0.126147852703831,0.126147852703831,0,0,0,1,,0,0,0,10,0,0,0.161231920938398,0.183644599553749,0.214590465022313,0.264101646940141,0.382207364429818,0.52317577000257,0.52317577000257,
2021,3,0,0,0.134918869762473,0.14052203941631,0.148258505783451,0.160636301262908,9.55518411074545E-02,0.130793942500642,0.130793942500642,1,,0,0,0,11,0,0,0.161231920938398,0.183644599553749,0.214590465022313,0.264101646940141,0.382207364429818,0.52317577000257,0.52317577000257,
2021,4,0,0,0.143689886821115,0.15489622612879,0.170369158863072,0.195124749821986,0.191103682214909,0.261587885001285,0.261587885001285,1,,0,0,0,12,0,0,0.161231920938398,0.183644599553749,0.214590465022313,0.264101646940141,0.382207364429818,0.52317577000257,0.52317577000257,
2021,5,0,0,0.152460903879757,0.169270412841269,0.192479811942692,0.229613198381064,0.286655523322363,0.392381827501927,0.392381827501927,1,,0,7.68242299974302E-02,0.258024981659779,,,,,,,,,,,
2021,6,0,0,0.161231920938398,0.183644599553749,0.214590465022313,0.264101646940141,0.382207364429818,0.52317577000257,0.52317577000257,1,vaccine2,high priority,Vulnerable (%),others,Month,,,,,,,,,,
2021,7,0,0,0.193169398361817,0.214288313502657,0.243447840483196,0.290101007977829,0.403148751150213,0.535979808335475,0.535979808335475,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,
2021,8,0,0,0.225106875785235,0.244932027451565,0.272305215944079,0.316100369015517,0.424090137870608,0.54878384666838,0.54878384666838,2,,0,0,0,2,0,0,0,0,0,0,0,0,0,
2021,9,0,0,0.257044353208653,0.275575741400473,0.301162591404962,0.342099730053205,0.445031524591003,0.561587885001285,0.561587885001285,2,,0,0,0,3,0,0,0,0,0,0,0,0,0,
2021,10,0,0,0.288981830632071,0.306219455349381,0.330019966865845,0.368099091090893,0.465972911311398,0.57439192333419,0.57439192333419,2,,0,0,0,4,0,0,0,0,0,0,0,0,0,
2021,11,0,0,0.320919308055489,0.336863169298289,0.358877342326729,0.394098452128581,0.486914298031793,0.587195961667095,0.587195961667095,2,,0,0,0,5,0,0,0,0,0,0,0,0,0,
