year,month,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,Vaccine,cov1,0.6,,,,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,
2020,1,0,0,0,0,0,0,0,0,0,1,cov 2,0.6,,,high priority,0,0,0.210246421173051,0.210246421173051,0.210246421173051,0.210246421173051,0,0,0,
2020,2,0,0,0,0,0,0,0,0,0,1,,,,,Vulnerable (%),0,0,6.70598109587439E-02,0.109899483398544,0.169049519090013,0.263685365695802,0.730552495632473,1,1,
2020,3,0,0,0,0,0,0,0,0,0,1,,0.6,8.97788323058934E-02,0,others,0,0,0.722693767868205,0.679854095428405,0.620704059736935,0.526068213131146,0.269447504367527,0,0,
2020,4,0,0,0,0,0,0,0,0,0,1,Jan-June,high priority,Vulnerable (%),others,Month,,,,,,,,,,
2020,5,0,0,0,0,0,0,0,0,0,1,,0.5,0,0,1,0,0,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,0,0,0,
2020,6,0,0,0,0,0,0,0,0,0,1,,0.5,0,0,2,0,0,0.126147852703831,0.126147852703831,0.126147852703831,0.126147852703831,0,0,0,
2020,7,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,3,0,0,0.127652990584463,0.128614514526466,0.129942119810274,0.132066193760911,1.63970374990099E-02,2.24447080764733E-02,2.24447080764733E-02,
2020,8,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,4,0,0,0.129158128465096,0.131081176349102,0.133736386916718,0.137984534817992,3.27940749980198E-02,4.48894161529467E-02,4.48894161529467E-02,
2020,9,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,5,0,0,0.130663266345728,0.133547838171737,0.137530654023162,0.143902875875072,4.91911124970297E-02,0.06733412422942,0.06733412422942,
2020,10,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,6,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2020,11,0,0,0,0,0,0,0,0,0,1,,0,0,0,7,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2020,12,0,0,0,0,0,0,0,0,0,1,,0,0,0,8,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2021,1,0,0,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,0,0,0,1,,0,0,0,9,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2021,2,0,0,0.126147852703831,0.126147852703831,0.126147852703831,0.126147852703831,0,0,0,1,,0,0,0,10,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2021,3,0,0,0.127652990584463,0.128614514526466,0.129942119810274,0.132066193760911,1.63970374990099E-02,2.24447080764733E-02,2.24447080764733E-02,1,,0,0,0,11,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2021,4,0,0,0.129158128465096,0.131081176349102,0.133736386916718,0.137984534817992,3.27940749980198E-02,4.48894161529467E-02,4.48894161529467E-02,1,,0,0,0,12,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2021,5,0,0,0.130663266345728,0.133547838171737,0.137530654023162,0.143902875875072,4.91911124970297E-02,0.06733412422942,0.06733412422942,1,,0,0.288931291797784,0,,,,,,,,,,,
2021,6,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,1,vaccine2,high priority,Vulnerable (%),others,Month,,,,,,,,,,
2021,7,0,0,0.135397683861032,0.141306733278748,0.149465537117684,0.162519042488596,0.100768062710904,0.137934047605524,0.137934047605524,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,
2021,8,0,0,0.138626963495702,0.146598966563123,0.157606153105762,0.175216868045039,0.135947975425768,0.186089262905155,0.186089262905155,2,,0,0,0,2,0,0,0,0,0,0,0,0,0,
2021,9,0,0,0.141856243130373,0.151891199847498,0.165746769093841,0.187914693601482,0.171127888140632,0.234244478204786,0.234244478204786,2,,0,0,0,3,0,0,0,0,0,0,0,0,0,
2021,10,0,0,0.145085522765044,0.157183433131873,0.17388738508192,0.200612519157925,0.206307800855497,0.282399693504416,0.282399693504416,2,,0,0,0,4,0,0,0,0,0,0,0,0,0,
